央视,#genre#
肥城综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226091/index.m3u8
新泰新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226011/index.m3u8
新泰乡村HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226180/index.m3u8
新矿新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221225875/index.m3u8
宁阳综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226244/index.m3u8
宁阳影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226315/index.m3u8
东平新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225864/index.m3u8
枣庄新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226089/index.m3u8
枣庄教育,http://39.134.144.6:8089/PLTV/88888888/224/3221226030/index.m3u8
滕州综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225850/index.m3u8
德州新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226065/index.m3u8
德州公共HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226069/index.m3u8
齐河新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226217/index.m3u8
禹城综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226156/index.m3u8
禹城综艺HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226158/index.m3u8
武城新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226225/index.m3u8
武城综艺HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226154/index.m3u8
平原新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226174/index.m3u8
夏津综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226182/index.m3u8
夏津公共HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226255/index.m3u8
宁津综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226443/index.m3u8
陵城新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226477/index.m3u8
临沂综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225984/index.m3u8
临沂农科,http://39.134.144.6:8089/PLTV/88888888/224/3221225914/index.m3u8
临沂公共,http://39.134.144.6:8089/PLTV/88888888/224/3221225982/index.m3u8
